bank_name,loan_type,interest_rate,tenure_years,min_amount,max_amount,processing_fee,employment_type,location,description
Canara,Vehicle Loan,13.07,1,50000,500000,₹7185,Government,Kondapur,"Canara offers a vehicle loan at 13.07% for up to ₹500000 in Kondapur, Hyderabad."
Yes Bank,Home Loan,9.97,20,100000,1000000,₹3128,Government,LB Nagar,"Yes Bank offers a home loan at 9.97% for up to ₹1000000 in LB Nagar, Hyderabad."
ICICI,Personal Loan,14.2,2,100000,500000,₹4408,Self-Employed,Madhapur,"ICICI offers a personal loan at 14.2% for up to ₹500000 in Madhapur, Hyderabad."
PNB,Personal Loan,7.69,10,100000,2000000,₹9383,Pensioner,Tolichowki,"PNB offers a personal loan at 7.69% for up to ₹2000000 in Tolichowki, Hyderabad."
Axis,Home Loan,11.35,15,200000,2000000,₹2392,Self-Employed,Kondapur,"Axis offers a home loan at 11.35% for up to ₹2000000 in Kondapur, Hyderabad."
IDFC First,Home Loan,12.97,2,50000,2000000,₹4789,Pensioner,Ameerpet,"IDFC First offers a home loan at 12.97% for up to ₹2000000 in Ameerpet, Hyderabad."
HDFC,Education Loan,9.2,3,50000,500000,₹3642,Self-Employed,Tolichowki,"HDFC offers a education loan at 9.2% for up to ₹500000 in Tolichowki, Hyderabad."
PNB,Vehicle Loan,7.35,5,200000,2000000,₹7947,Salaried,Hitech City,"PNB offers a vehicle loan at 7.35% for up to ₹2000000 in Hitech City, Hyderabad."
Kotak,Education Loan,12.5,2,50000,2000000,₹7475,Salaried,Miyapur,"Kotak offers a education loan at 12.5% for up to ₹2000000 in Miyapur, Hyderabad."
BOB,Personal Loan,12.76,20,50000,1000000,₹3874,Self-Employed,Secunderabad,"BOB offers a personal loan at 12.76% for up to ₹1000000 in Secunderabad, Hyderabad."
Axis,Education Loan,10.23,5,100000,2000000,₹6730,Self-Employed,Ameerpet,"Axis offers a education loan at 10.23% for up to ₹2000000 in Ameerpet, Hyderabad."
PNB,Vehicle Loan,10.33,20,200000,1000000,₹7896,Self-Employed,Jubilee Hills,"PNB offers a vehicle loan at 10.33% for up to ₹1000000 in Jubilee Hills, Hyderabad."
BOB,Personal Loan,11.4,3,100000,500000,₹7031,Salaried,Hitech City,"BOB offers a personal loan at 11.4% for up to ₹500000 in Hitech City, Hyderabad."
Canara,Education Loan,10.22,10,200000,500000,₹6057,Government,Dilsukhnagar,"Canara offers a education loan at 10.22% for up to ₹500000 in Dilsukhnagar, Hyderabad."
SBI,Education Loan,12.18,15,100000,1000000,₹9640,Self-Employed,Attapur,"SBI offers a education loan at 12.18% for up to ₹1000000 in Attapur, Hyderabad."
SBI,Personal Loan,11.64,2,200000,1000000,₹6964,Government,Attapur,"SBI offers a personal loan at 11.64% for up to ₹1000000 in Attapur, Hyderabad."
PNB,Personal Loan,9.44,10,200000,500000,₹8376,Government,Kukatpally,"PNB offers a personal loan at 9.44% for up to ₹500000 in Kukatpally, Hyderabad."
Kotak,Education Loan,13.23,5,200000,2000000,₹4707,Pensioner,Gachibowli,"Kotak offers a education loan at 13.23% for up to ₹2000000 in Gachibowli, Hyderabad."
IDFC First,Education Loan,7.06,20,200000,1000000,₹7265,Salaried,Jubilee Hills,"IDFC First offers a education loan at 7.06% for up to ₹1000000 in Jubilee Hills, Hyderabad."
ICICI,Vehicle Loan,8.77,10,200000,2000000,₹8677,Salaried,Banjara Hills,"ICICI offers a vehicle loan at 8.77% for up to ₹2000000 in Banjara Hills, Hyderabad."
Canara,Personal Loan,14.74,3,50000,1000000,₹8488,Government,Kukatpally,"Canara offers a personal loan at 14.74% for up to ₹1000000 in Kukatpally, Hyderabad."
Kotak,Education Loan,13.25,5,100000,2000000,₹5334,Salaried,Banjara Hills,"Kotak offers a education loan at 13.25% for up to ₹2000000 in Banjara Hills, Hyderabad."
Canara,Home Loan,7.99,15,200000,500000,₹2561,Salaried,LB Nagar,"Canara offers a home loan at 7.99% for up to ₹500000 in LB Nagar, Hyderabad."
BOB,Education Loan,14.78,2,100000,2000000,₹7851,Pensioner,Dilsukhnagar,"BOB offers a education loan at 14.78% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
PNB,Home Loan,8.86,5,100000,500000,₹8739,Pensioner,Miyapur,"PNB offers a home loan at 8.86% for up to ₹500000 in Miyapur, Hyderabad."
ICICI,Education Loan,14.66,5,200000,1000000,₹3960,Self-Employed,Gachibowli,"ICICI offers a education loan at 14.66% for up to ₹1000000 in Gachibowli, Hyderabad."
BOB,Vehicle Loan,13.45,10,50000,500000,₹5920,Salaried,Miyapur,"BOB offers a vehicle loan at 13.45% for up to ₹500000 in Miyapur, Hyderabad."
HDFC,Vehicle Loan,13.94,20,200000,500000,₹4432,Pensioner,Tolichowki,"HDFC offers a vehicle loan at 13.94% for up to ₹500000 in Tolichowki, Hyderabad."
Axis,Education Loan,9.03,1,200000,2000000,₹6826,Government,Madhapur,"Axis offers a education loan at 9.03% for up to ₹2000000 in Madhapur, Hyderabad."
PNB,Personal Loan,8.41,1,200000,2000000,₹2366,Pensioner,Hitech City,"PNB offers a personal loan at 8.41% for up to ₹2000000 in Hitech City, Hyderabad."
ICICI,Home Loan,11.41,1,50000,500000,₹5273,Government,Gachibowli,"ICICI offers a home loan at 11.41% for up to ₹500000 in Gachibowli, Hyderabad."
Axis,Education Loan,11.69,3,200000,1000000,₹6021,Government,Miyapur,"Axis offers a education loan at 11.69% for up to ₹1000000 in Miyapur, Hyderabad."
Yes Bank,Education Loan,12.63,5,100000,2000000,₹5041,Government,Miyapur,"Yes Bank offers a education loan at 12.63% for up to ₹2000000 in Miyapur, Hyderabad."
Canara,Personal Loan,11.69,3,200000,2000000,₹1895,Self-Employed,Dilsukhnagar,"Canara offers a personal loan at 11.69% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
Kotak,Vehicle Loan,11.77,2,100000,2000000,₹4640,Government,Begumpet,"Kotak offers a vehicle loan at 11.77% for up to ₹2000000 in Begumpet, Hyderabad."
Canara,Education Loan,13.45,3,100000,500000,₹3425,Government,Begumpet,"Canara offers a education loan at 13.45% for up to ₹500000 in Begumpet, Hyderabad."
SBI,Education Loan,13.98,3,100000,1000000,₹3878,Government,LB Nagar,"SBI offers a education loan at 13.98% for up to ₹1000000 in LB Nagar, Hyderabad."
Kotak,Education Loan,8.3,20,100000,1000000,₹1428,Salaried,Gachibowli,"Kotak offers a education loan at 8.3% for up to ₹1000000 in Gachibowli, Hyderabad."
PNB,Education Loan,9.14,1,100000,1000000,₹9859,Self-Employed,Tolichowki,"PNB offers a education loan at 9.14% for up to ₹1000000 in Tolichowki, Hyderabad."
IDFC First,Vehicle Loan,7.55,3,50000,2000000,₹3501,Government,Gachibowli,"IDFC First offers a vehicle loan at 7.55% for up to ₹2000000 in Gachibowli, Hyderabad."
BOB,Education Loan,10.21,1,50000,1000000,₹4098,Salaried,Kondapur,"BOB offers a education loan at 10.21% for up to ₹1000000 in Kondapur, Hyderabad."
Kotak,Home Loan,10.19,1,200000,1000000,₹7626,Salaried,Tolichowki,"Kotak offers a home loan at 10.19% for up to ₹1000000 in Tolichowki, Hyderabad."
IDFC First,Vehicle Loan,11.75,1,50000,500000,₹7988,Pensioner,Kukatpally,"IDFC First offers a vehicle loan at 11.75% for up to ₹500000 in Kukatpally, Hyderabad."
IDFC First,Home Loan,10.65,15,50000,1000000,₹9701,Self-Employed,Kukatpally,"IDFC First offers a home loan at 10.65% for up to ₹1000000 in Kukatpally, Hyderabad."
ICICI,Personal Loan,12.7,10,200000,1000000,₹6818,Salaried,Jubilee Hills,"ICICI offers a personal loan at 12.7% for up to ₹1000000 in Jubilee Hills, Hyderabad."
PNB,Vehicle Loan,8.94,5,50000,500000,₹5159,Salaried,Secunderabad,"PNB offers a vehicle loan at 8.94% for up to ₹500000 in Secunderabad, Hyderabad."
PNB,Personal Loan,11.89,10,200000,2000000,₹3095,Self-Employed,Kukatpally,"PNB offers a personal loan at 11.89% for up to ₹2000000 in Kukatpally, Hyderabad."
HDFC,Vehicle Loan,7.18,2,50000,500000,₹8991,Government,Secunderabad,"HDFC offers a vehicle loan at 7.18% for up to ₹500000 in Secunderabad, Hyderabad."
Yes Bank,Education Loan,10.83,2,200000,500000,₹5430,Pensioner,Madhapur,"Yes Bank offers a education loan at 10.83% for up to ₹500000 in Madhapur, Hyderabad."
SBI,Personal Loan,9.12,15,50000,500000,₹6346,Salaried,Mehdipatnam,"SBI offers a personal loan at 9.12% for up to ₹500000 in Mehdipatnam, Hyderabad."
IDFC First,Vehicle Loan,10.04,10,100000,1000000,₹5690,Government,Jubilee Hills,"IDFC First offers a vehicle loan at 10.04% for up to ₹1000000 in Jubilee Hills, Hyderabad."
Yes Bank,Vehicle Loan,10.26,1,200000,500000,₹4685,Pensioner,Gachibowli,"Yes Bank offers a vehicle loan at 10.26% for up to ₹500000 in Gachibowli, Hyderabad."
ICICI,Education Loan,12.35,10,100000,500000,₹7594,Salaried,Jubilee Hills,"ICICI offers a education loan at 12.35% for up to ₹500000 in Jubilee Hills, Hyderabad."
SBI,Vehicle Loan,8.72,1,50000,2000000,₹6183,Self-Employed,Miyapur,"SBI offers a vehicle loan at 8.72% for up to ₹2000000 in Miyapur, Hyderabad."
Kotak,Vehicle Loan,14.73,2,50000,500000,₹5816,Government,Dilsukhnagar,"Kotak offers a vehicle loan at 14.73% for up to ₹500000 in Dilsukhnagar, Hyderabad."
HDFC,Education Loan,14.57,2,50000,1000000,₹3604,Government,Kondapur,"HDFC offers a education loan at 14.57% for up to ₹1000000 in Kondapur, Hyderabad."
BOB,Vehicle Loan,8.73,20,100000,2000000,₹1071,Self-Employed,Gachibowli,"BOB offers a vehicle loan at 8.73% for up to ₹2000000 in Gachibowli, Hyderabad."
Yes Bank,Education Loan,10.38,2,200000,2000000,₹6304,Salaried,Miyapur,"Yes Bank offers a education loan at 10.38% for up to ₹2000000 in Miyapur, Hyderabad."
IDFC First,Education Loan,13.86,3,50000,2000000,₹5767,Government,Banjara Hills,"IDFC First offers a education loan at 13.86% for up to ₹2000000 in Banjara Hills, Hyderabad."
Kotak,Vehicle Loan,7.28,15,200000,500000,₹6390,Salaried,Tolichowki,"Kotak offers a vehicle loan at 7.28% for up to ₹500000 in Tolichowki, Hyderabad."
HDFC,Personal Loan,11.7,5,100000,500000,₹4458,Self-Employed,Hitech City,"HDFC offers a personal loan at 11.7% for up to ₹500000 in Hitech City, Hyderabad."
Axis,Education Loan,8.22,3,200000,500000,₹4372,Pensioner,Kukatpally,"Axis offers a education loan at 8.22% for up to ₹500000 in Kukatpally, Hyderabad."
PNB,Education Loan,9.64,5,50000,500000,₹3850,Government,Ameerpet,"PNB offers a education loan at 9.64% for up to ₹500000 in Ameerpet, Hyderabad."
SBI,Home Loan,10.01,3,100000,1000000,₹8663,Salaried,Kondapur,"SBI offers a home loan at 10.01% for up to ₹1000000 in Kondapur, Hyderabad."
Canara,Home Loan,7.09,15,100000,2000000,₹5522,Government,Kondapur,"Canara offers a home loan at 7.09% for up to ₹2000000 in Kondapur, Hyderabad."
Canara,Home Loan,11.76,10,100000,500000,₹3504,Pensioner,Mehdipatnam,"Canara offers a home loan at 11.76% for up to ₹500000 in Mehdipatnam, Hyderabad."
BOB,Home Loan,8.79,1,200000,500000,₹6584,Self-Employed,Mehdipatnam,"BOB offers a home loan at 8.79% for up to ₹500000 in Mehdipatnam, Hyderabad."
PNB,Education Loan,10.13,10,200000,1000000,₹4339,Salaried,LB Nagar,"PNB offers a education loan at 10.13% for up to ₹1000000 in LB Nagar, Hyderabad."
HDFC,Personal Loan,8.65,5,100000,1000000,₹9289,Salaried,Banjara Hills,"HDFC offers a personal loan at 8.65% for up to ₹1000000 in Banjara Hills, Hyderabad."
BOB,Home Loan,14.75,10,200000,500000,₹1936,Salaried,Gachibowli,"BOB offers a home loan at 14.75% for up to ₹500000 in Gachibowli, Hyderabad."
ICICI,Personal Loan,10.58,5,50000,1000000,₹1282,Pensioner,Attapur,"ICICI offers a personal loan at 10.58% for up to ₹1000000 in Attapur, Hyderabad."
Axis,Personal Loan,14.96,2,200000,1000000,₹5650,Salaried,Kondapur,"Axis offers a personal loan at 14.96% for up to ₹1000000 in Kondapur, Hyderabad."
Canara,Education Loan,14.05,10,50000,2000000,₹6124,Self-Employed,Hitech City,"Canara offers a education loan at 14.05% for up to ₹2000000 in Hitech City, Hyderabad."
ICICI,Home Loan,10.84,10,50000,2000000,₹5019,Pensioner,Ameerpet,"ICICI offers a home loan at 10.84% for up to ₹2000000 in Ameerpet, Hyderabad."
PNB,Home Loan,11.23,1,100000,1000000,₹4571,Self-Employed,Miyapur,"PNB offers a home loan at 11.23% for up to ₹1000000 in Miyapur, Hyderabad."
PNB,Personal Loan,14.39,15,50000,1000000,₹5326,Salaried,Miyapur,"PNB offers a personal loan at 14.39% for up to ₹1000000 in Miyapur, Hyderabad."
PNB,Education Loan,10.04,15,200000,500000,₹8570,Pensioner,Hitech City,"PNB offers a education loan at 10.04% for up to ₹500000 in Hitech City, Hyderabad."
Canara,Vehicle Loan,13.25,1,200000,2000000,₹1748,Self-Employed,Miyapur,"Canara offers a vehicle loan at 13.25% for up to ₹2000000 in Miyapur, Hyderabad."
IDFC First,Education Loan,11.18,3,100000,1000000,₹8622,Self-Employed,Kondapur,"IDFC First offers a education loan at 11.18% for up to ₹1000000 in Kondapur, Hyderabad."
Axis,Personal Loan,11.4,2,50000,2000000,₹5812,Government,Attapur,"Axis offers a personal loan at 11.4% for up to ₹2000000 in Attapur, Hyderabad."
IDFC First,Personal Loan,10.45,1,100000,1000000,₹2274,Government,Attapur,"IDFC First offers a personal loan at 10.45% for up to ₹1000000 in Attapur, Hyderabad."
Yes Bank,Vehicle Loan,13.95,10,50000,500000,₹4366,Government,Kukatpally,"Yes Bank offers a vehicle loan at 13.95% for up to ₹500000 in Kukatpally, Hyderabad."
ICICI,Education Loan,13.7,15,50000,1000000,₹5605,Pensioner,Begumpet,"ICICI offers a education loan at 13.7% for up to ₹1000000 in Begumpet, Hyderabad."
Yes Bank,Personal Loan,10.68,15,50000,1000000,₹1032,Government,Mehdipatnam,"Yes Bank offers a personal loan at 10.68% for up to ₹1000000 in Mehdipatnam, Hyderabad."
Kotak,Home Loan,12.86,3,100000,1000000,₹9084,Self-Employed,Begumpet,"Kotak offers a home loan at 12.86% for up to ₹1000000 in Begumpet, Hyderabad."
SBI,Vehicle Loan,12.19,1,50000,2000000,₹7748,Salaried,Hitech City,"SBI offers a vehicle loan at 12.19% for up to ₹2000000 in Hitech City, Hyderabad."
Kotak,Education Loan,14.35,2,100000,500000,₹7960,Self-Employed,Dilsukhnagar,"Kotak offers a education loan at 14.35% for up to ₹500000 in Dilsukhnagar, Hyderabad."
PNB,Personal Loan,12.13,1,200000,500000,₹9690,Government,Tolichowki,"PNB offers a personal loan at 12.13% for up to ₹500000 in Tolichowki, Hyderabad."
PNB,Personal Loan,13.56,20,200000,2000000,₹2827,Government,Gachibowli,"PNB offers a personal loan at 13.56% for up to ₹2000000 in Gachibowli, Hyderabad."
BOB,Home Loan,14.2,5,100000,500000,₹8756,Government,Secunderabad,"BOB offers a home loan at 14.2% for up to ₹500000 in Secunderabad, Hyderabad."
Yes Bank,Home Loan,12.9,10,200000,1000000,₹1979,Self-Employed,Miyapur,"Yes Bank offers a home loan at 12.9% for up to ₹1000000 in Miyapur, Hyderabad."
SBI,Personal Loan,10.15,3,50000,2000000,₹4075,Self-Employed,LB Nagar,"SBI offers a personal loan at 10.15% for up to ₹2000000 in LB Nagar, Hyderabad."
ICICI,Home Loan,7.06,3,100000,1000000,₹4981,Pensioner,Jubilee Hills,"ICICI offers a home loan at 7.06% for up to ₹1000000 in Jubilee Hills, Hyderabad."
Yes Bank,Home Loan,12.92,1,200000,1000000,₹7229,Self-Employed,Secunderabad,"Yes Bank offers a home loan at 12.92% for up to ₹1000000 in Secunderabad, Hyderabad."
ICICI,Vehicle Loan,13.94,15,50000,500000,₹5913,Pensioner,Hitech City,"ICICI offers a vehicle loan at 13.94% for up to ₹500000 in Hitech City, Hyderabad."
IDFC First,Personal Loan,12.45,3,50000,1000000,₹2634,Salaried,Gachibowli,"IDFC First offers a personal loan at 12.45% for up to ₹1000000 in Gachibowli, Hyderabad."
IDFC First,Vehicle Loan,14.35,1,50000,500000,₹9799,Government,Dilsukhnagar,"IDFC First offers a vehicle loan at 14.35% for up to ₹500000 in Dilsukhnagar, Hyderabad."
SBI,Home Loan,13.41,1,100000,1000000,₹7487,Government,Secunderabad,"SBI offers a home loan at 13.41% for up to ₹1000000 in Secunderabad, Hyderabad."
Yes Bank,Education Loan,12.97,1,50000,500000,₹6212,Self-Employed,Banjara Hills,"Yes Bank offers a education loan at 12.97% for up to ₹500000 in Banjara Hills, Hyderabad."
PNB,Personal Loan,14.91,15,200000,500000,₹1615,Government,Hitech City,"PNB offers a personal loan at 14.91% for up to ₹500000 in Hitech City, Hyderabad."
Yes Bank,Education Loan,9.69,1,50000,2000000,₹4783,Pensioner,LB Nagar,"Yes Bank offers a education loan at 9.69% for up to ₹2000000 in LB Nagar, Hyderabad."
IDFC First,Education Loan,11.46,1,200000,500000,₹1753,Salaried,Secunderabad,"IDFC First offers a education loan at 11.46% for up to ₹500000 in Secunderabad, Hyderabad."
Canara,Education Loan,8.51,3,200000,1000000,₹6219,Salaried,Begumpet,"Canara offers a education loan at 8.51% for up to ₹1000000 in Begumpet, Hyderabad."
Axis,Vehicle Loan,10.4,15,50000,2000000,₹2634,Salaried,Secunderabad,"Axis offers a vehicle loan at 10.4% for up to ₹2000000 in Secunderabad, Hyderabad."
ICICI,Education Loan,10.76,15,100000,1000000,₹5003,Salaried,Kukatpally,"ICICI offers a education loan at 10.76% for up to ₹1000000 in Kukatpally, Hyderabad."
IDFC First,Personal Loan,10.32,10,100000,2000000,₹5975,Self-Employed,Kondapur,"IDFC First offers a personal loan at 10.32% for up to ₹2000000 in Kondapur, Hyderabad."
BOB,Vehicle Loan,11.81,1,200000,2000000,₹3054,Government,Kondapur,"BOB offers a vehicle loan at 11.81% for up to ₹2000000 in Kondapur, Hyderabad."
ICICI,Personal Loan,7.12,1,200000,500000,₹6478,Government,Madhapur,"ICICI offers a personal loan at 7.12% for up to ₹500000 in Madhapur, Hyderabad."
SBI,Education Loan,11.04,10,50000,2000000,₹2338,Government,Hitech City,"SBI offers a education loan at 11.04% for up to ₹2000000 in Hitech City, Hyderabad."
Canara,Personal Loan,8.56,2,200000,1000000,₹5829,Pensioner,Miyapur,"Canara offers a personal loan at 8.56% for up to ₹1000000 in Miyapur, Hyderabad."
HDFC,Vehicle Loan,8.67,20,200000,2000000,₹7241,Salaried,Attapur,"HDFC offers a vehicle loan at 8.67% for up to ₹2000000 in Attapur, Hyderabad."
Axis,Education Loan,11.92,20,100000,2000000,₹9396,Self-Employed,Begumpet,"Axis offers a education loan at 11.92% for up to ₹2000000 in Begumpet, Hyderabad."
PNB,Home Loan,13.8,5,100000,1000000,₹9973,Self-Employed,LB Nagar,"PNB offers a home loan at 13.8% for up to ₹1000000 in LB Nagar, Hyderabad."
ICICI,Education Loan,13.84,10,50000,2000000,₹1001,Pensioner,Kukatpally,"ICICI offers a education loan at 13.84% for up to ₹2000000 in Kukatpally, Hyderabad."
Kotak,Personal Loan,14.23,5,100000,1000000,₹8551,Pensioner,Ameerpet,"Kotak offers a personal loan at 14.23% for up to ₹1000000 in Ameerpet, Hyderabad."
ICICI,Education Loan,10.4,15,200000,2000000,₹6051,Salaried,Hitech City,"ICICI offers a education loan at 10.4% for up to ₹2000000 in Hitech City, Hyderabad."
IDFC First,Personal Loan,9.36,15,200000,2000000,₹4625,Pensioner,Tolichowki,"IDFC First offers a personal loan at 9.36% for up to ₹2000000 in Tolichowki, Hyderabad."
Yes Bank,Education Loan,8.51,3,50000,1000000,₹3358,Self-Employed,Attapur,"Yes Bank offers a education loan at 8.51% for up to ₹1000000 in Attapur, Hyderabad."
HDFC,Education Loan,9.05,5,50000,2000000,₹9878,Government,Tolichowki,"HDFC offers a education loan at 9.05% for up to ₹2000000 in Tolichowki, Hyderabad."
ICICI,Education Loan,13.54,15,200000,1000000,₹8836,Government,Tolichowki,"ICICI offers a education loan at 13.54% for up to ₹1000000 in Tolichowki, Hyderabad."
Canara,Vehicle Loan,9.87,3,200000,1000000,₹4232,Salaried,Tolichowki,"Canara offers a vehicle loan at 9.87% for up to ₹1000000 in Tolichowki, Hyderabad."
Yes Bank,Home Loan,12.3,20,200000,500000,₹1632,Government,Jubilee Hills,"Yes Bank offers a home loan at 12.3% for up to ₹500000 in Jubilee Hills, Hyderabad."
SBI,Vehicle Loan,14.82,1,100000,2000000,₹8537,Pensioner,Kondapur,"SBI offers a vehicle loan at 14.82% for up to ₹2000000 in Kondapur, Hyderabad."
HDFC,Vehicle Loan,13.25,3,100000,500000,₹6782,Self-Employed,Hitech City,"HDFC offers a vehicle loan at 13.25% for up to ₹500000 in Hitech City, Hyderabad."
IDFC First,Personal Loan,14.4,2,50000,2000000,₹8592,Pensioner,Gachibowli,"IDFC First offers a personal loan at 14.4% for up to ₹2000000 in Gachibowli, Hyderabad."
PNB,Education Loan,9.1,2,100000,1000000,₹7605,Pensioner,LB Nagar,"PNB offers a education loan at 9.1% for up to ₹1000000 in LB Nagar, Hyderabad."
ICICI,Education Loan,7.09,2,50000,500000,₹7109,Self-Employed,Gachibowli,"ICICI offers a education loan at 7.09% for up to ₹500000 in Gachibowli, Hyderabad."
Yes Bank,Home Loan,13.84,15,200000,500000,₹8358,Self-Employed,LB Nagar,"Yes Bank offers a home loan at 13.84% for up to ₹500000 in LB Nagar, Hyderabad."
ICICI,Personal Loan,10.23,3,100000,2000000,₹5898,Self-Employed,Jubilee Hills,"ICICI offers a personal loan at 10.23% for up to ₹2000000 in Jubilee Hills, Hyderabad."
Canara,Personal Loan,12.32,3,200000,500000,₹1286,Pensioner,LB Nagar,"Canara offers a personal loan at 12.32% for up to ₹500000 in LB Nagar, Hyderabad."
PNB,Home Loan,7.48,15,50000,500000,₹4687,Salaried,Miyapur,"PNB offers a home loan at 7.48% for up to ₹500000 in Miyapur, Hyderabad."
ICICI,Education Loan,9.79,15,100000,500000,₹4873,Salaried,Kukatpally,"ICICI offers a education loan at 9.79% for up to ₹500000 in Kukatpally, Hyderabad."
PNB,Education Loan,13.24,1,50000,1000000,₹5954,Government,Attapur,"PNB offers a education loan at 13.24% for up to ₹1000000 in Attapur, Hyderabad."
Axis,Education Loan,7.83,2,50000,2000000,₹6451,Pensioner,Tolichowki,"Axis offers a education loan at 7.83% for up to ₹2000000 in Tolichowki, Hyderabad."
Kotak,Vehicle Loan,13.15,20,50000,1000000,₹6054,Self-Employed,Tolichowki,"Kotak offers a vehicle loan at 13.15% for up to ₹1000000 in Tolichowki, Hyderabad."
Kotak,Personal Loan,9.98,1,200000,500000,₹7935,Government,Ameerpet,"Kotak offers a personal loan at 9.98% for up to ₹500000 in Ameerpet, Hyderabad."
Kotak,Home Loan,14.02,2,50000,500000,₹7332,Government,Kukatpally,"Kotak offers a home loan at 14.02% for up to ₹500000 in Kukatpally, Hyderabad."
Yes Bank,Home Loan,8.45,10,50000,2000000,₹9508,Government,Attapur,"Yes Bank offers a home loan at 8.45% for up to ₹2000000 in Attapur, Hyderabad."
Kotak,Education Loan,10.47,2,50000,1000000,₹5075,Pensioner,Dilsukhnagar,"Kotak offers a education loan at 10.47% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
Axis,Education Loan,11.81,1,50000,2000000,₹2162,Self-Employed,Tolichowki,"Axis offers a education loan at 11.81% for up to ₹2000000 in Tolichowki, Hyderabad."
PNB,Personal Loan,14.39,5,50000,500000,₹1465,Government,Jubilee Hills,"PNB offers a personal loan at 14.39% for up to ₹500000 in Jubilee Hills, Hyderabad."
SBI,Education Loan,8.45,3,100000,500000,₹2824,Self-Employed,Hitech City,"SBI offers a education loan at 8.45% for up to ₹500000 in Hitech City, Hyderabad."
Canara,Vehicle Loan,7.99,20,200000,2000000,₹6572,Self-Employed,Ameerpet,"Canara offers a vehicle loan at 7.99% for up to ₹2000000 in Ameerpet, Hyderabad."
HDFC,Education Loan,8.03,1,100000,1000000,₹6305,Pensioner,Begumpet,"HDFC offers a education loan at 8.03% for up to ₹1000000 in Begumpet, Hyderabad."
HDFC,Education Loan,11.59,5,200000,500000,₹9964,Salaried,Attapur,"HDFC offers a education loan at 11.59% for up to ₹500000 in Attapur, Hyderabad."
IDFC First,Personal Loan,11.29,1,200000,1000000,₹7479,Government,Madhapur,"IDFC First offers a personal loan at 11.29% for up to ₹1000000 in Madhapur, Hyderabad."
PNB,Education Loan,8.07,2,200000,500000,₹3707,Government,Secunderabad,"PNB offers a education loan at 8.07% for up to ₹500000 in Secunderabad, Hyderabad."
Canara,Personal Loan,13.01,2,100000,2000000,₹8925,Government,Attapur,"Canara offers a personal loan at 13.01% for up to ₹2000000 in Attapur, Hyderabad."
IDFC First,Education Loan,9.37,10,50000,1000000,₹2815,Government,Tolichowki,"IDFC First offers a education loan at 9.37% for up to ₹1000000 in Tolichowki, Hyderabad."
Yes Bank,Home Loan,13.5,10,100000,2000000,₹8282,Government,Ameerpet,"Yes Bank offers a home loan at 13.5% for up to ₹2000000 in Ameerpet, Hyderabad."
IDFC First,Education Loan,13.57,20,50000,1000000,₹9456,Pensioner,Dilsukhnagar,"IDFC First offers a education loan at 13.57% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
ICICI,Education Loan,7.83,1,50000,2000000,₹5708,Government,Ameerpet,"ICICI offers a education loan at 7.83% for up to ₹2000000 in Ameerpet, Hyderabad."
BOB,Home Loan,9.3,5,100000,1000000,₹8388,Pensioner,Secunderabad,"BOB offers a home loan at 9.3% for up to ₹1000000 in Secunderabad, Hyderabad."
BOB,Education Loan,9.22,10,100000,2000000,₹2581,Government,Gachibowli,"BOB offers a education loan at 9.22% for up to ₹2000000 in Gachibowli, Hyderabad."
HDFC,Vehicle Loan,14.58,15,200000,2000000,₹5180,Government,Madhapur,"HDFC offers a vehicle loan at 14.58% for up to ₹2000000 in Madhapur, Hyderabad."
ICICI,Personal Loan,12.12,1,100000,2000000,₹4858,Salaried,Kukatpally,"ICICI offers a personal loan at 12.12% for up to ₹2000000 in Kukatpally, Hyderabad."
PNB,Personal Loan,12.26,2,100000,500000,₹5017,Pensioner,Attapur,"PNB offers a personal loan at 12.26% for up to ₹500000 in Attapur, Hyderabad."
Kotak,Education Loan,10.98,1,50000,1000000,₹8305,Government,Secunderabad,"Kotak offers a education loan at 10.98% for up to ₹1000000 in Secunderabad, Hyderabad."
Yes Bank,Personal Loan,8.98,15,200000,2000000,₹4853,Salaried,Dilsukhnagar,"Yes Bank offers a personal loan at 8.98% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
HDFC,Vehicle Loan,12.17,3,50000,500000,₹7263,Government,Tolichowki,"HDFC offers a vehicle loan at 12.17% for up to ₹500000 in Tolichowki, Hyderabad."
ICICI,Personal Loan,8.73,5,200000,2000000,₹9004,Pensioner,Jubilee Hills,"ICICI offers a personal loan at 8.73% for up to ₹2000000 in Jubilee Hills, Hyderabad."
BOB,Personal Loan,12.27,15,100000,1000000,₹8650,Self-Employed,LB Nagar,"BOB offers a personal loan at 12.27% for up to ₹1000000 in LB Nagar, Hyderabad."
SBI,Education Loan,7.14,15,50000,1000000,₹8008,Salaried,Dilsukhnagar,"SBI offers a education loan at 7.14% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
IDFC First,Education Loan,7.6,1,50000,1000000,₹4023,Self-Employed,Madhapur,"IDFC First offers a education loan at 7.6% for up to ₹1000000 in Madhapur, Hyderabad."
